id,observed_on_string,observed_on,time_observed_at,quality_grade,license,url,image_url,tag_list,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,coordinates_obscured,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
45727075,2020/05/11 2:14 PM EDT,2020-05-11,2020-05-11 18:14:00 UTC,research,CC0,https://www.inaturalist.org/observations/45727075,https://inaturalist-open-data.s3.amazonaws.com/photos/72518374/medium.jpeg,"",false,"Elgin County, ON, Canada",42.7847663889,-81.272115,,,false,,Elgin,Ontario,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
45937149,2020-05-14T13:16:44-07:00,2020-05-14,2020-05-14 20:16:44 UTC,research,CC0,https://www.inaturalist.org/observations/45937149,https://inaturalist-open-data.s3.amazonaws.com/photos/72857116/medium.jpeg,"",false,Prince George,53.8724464397,-122.7723849169,65,,false,,Fraser-Fort George,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
47063295,2020-05-23T19:46:46-07:00,2020-05-23,2020-05-24 02:46:46 UTC,research,CC0,https://www.inaturalist.org/observations/47063295,https://inaturalist-open-data.s3.amazonaws.com/photos/74640238/medium.jpeg,"",false,Prince George,53.8726274497,-122.7776204564,65,,false,,Fraser-Fort George,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
49520534,2020/06/05 12:56 PM MDT,2020-06-05,2020-06-05 18:56:00 UTC,research,CC0,https://www.inaturalist.org/observations/49520534,https://inaturalist-open-data.s3.amazonaws.com/photos/78612336/medium.jpg,"canadensis, shepherdia",false,"Hinsdale County, CO, USA",37.7213435577,-107.2627110139,15,,false,,Hinsdale,Colorado,United States,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
49760307,2020-06-14 5:49:43 PM MDT,2020-06-14,2020-06-14 23:49:43 UTC,research,CC0,https://www.inaturalist.org/observations/49760307,https://inaturalist-open-data.s3.amazonaws.com/photos/78999434/medium.jpeg,"",false,"Carbon County, US-MT, US",45.0542166643,-109.4135552645,9,,false,,Carbon,Montana,United States,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
49993183,2020/06/05 11:45 AM PDT,2020-06-05,2020-06-05 18:45:00 UTC,research,CC0,https://www.inaturalist.org/observations/49993183,https://inaturalist-open-data.s3.amazonaws.com/photos/79375677/medium.jpeg,"",false,"Okanagan-Similkameen, BC, Canada",49.2850832319,-119.5827329074,31,,false,,Okanagan-Similkameen,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
50499925,2020-06-21 12:26:49 PM PDT,2020-06-21,2020-06-21 19:26:49 UTC,research,CC0,https://www.inaturalist.org/observations/50499925,https://inaturalist-open-data.s3.amazonaws.com/photos/80185119/medium.jpeg,"",false,"Christina Lake, BC V0H 1E3, Canada",49.2428055556,-118.0006277778,,,false,,Kootenay Boundary,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
50727614,2020-06-23 9:57:57 AM PDT,2020-06-23,2020-06-23 16:57:57 UTC,research,CC0,https://www.inaturalist.org/observations/50727614,https://inaturalist-open-data.s3.amazonaws.com/photos/80567258/medium.jpeg,"",false,"Skookumchuck, BC V0B 2E0, Canada",50.1461916667,-115.801225,,,false,,East Kootenay,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
51187781,2020/06/27 12:08 PM PDT,2020-06-27,2020-06-27 19:08:00 UTC,research,CC0,https://www.inaturalist.org/observations/51187781,https://inaturalist-open-data.s3.amazonaws.com/photos/81311227/medium.jpeg,"",false,"Division No. 11, Alberta, Canada",53.5427666667,-113.4611194444,50,,false,,Division No. 11,Alberta,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
51595907,Wed Jul 01 2020 10:46:34 GMT-0400 (EDT),2020-07-01,2020-07-01 14:46:34 UTC,research,CC0,https://www.inaturalist.org/observations/51595907,https://inaturalist-open-data.s3.amazonaws.com/photos/81987519/medium.jpg,"",false,"MacGregor Point Provincial Park, Saugeen Shores, ON, CA",44.41463333,-81.46604167,5,,false,,Bruce Extension,Ontario,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
51865408,Fri Jul 03 2020 17:03:55 GMT-0600 (MDT),2020-07-03,2020-07-03 23:03:55 UTC,research,CC0,https://www.inaturalist.org/observations/51865408,https://inaturalist-open-data.s3.amazonaws.com/photos/82425492/medium.jpg,"",false,"Forest Heights Park, Edmonton, AB, CA",53.5376883333,-113.462745,,,false,,Division No. 11,Alberta,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
51902188,2020/07/02 8:44 AM EDT,2020-07-02,2020-07-02 12:44:00 UTC,research,CC0,https://www.inaturalist.org/observations/51902188,https://inaturalist-open-data.s3.amazonaws.com/photos/82482758/medium.jpg,"",false,,,,10,,true,,,,,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
52833489,2020/06/30 12:58 PM PDT,2020-06-30,2020-06-30 19:58:00 UTC,research,CC0,https://www.inaturalist.org/observations/52833489,https://inaturalist-open-data.s3.amazonaws.com/photos/83995966/medium.jpeg,"",false,"Division No. 9, AB, Canada",52.048355,-116.40881,,,false,,Division No. 9,Alberta,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
